text,label
Your bank statement for the month of July is now available in the official banking app.,SAFE
Your OTP for UPI transaction is 847291. Do not share with anyone.,SAFE
Your order #84920 has been dispatched and will arrive in 2-3 business days.,SAFE
Reminder: Annual health check-up scheduled for next Monday at 10 AM.,SAFE
"Dear customer, your mobile recharge of Rs 299 was successful. Validity: 28 days.",SAFE
"Your HDFC credit card statement for statement date 15-Jul is generated. Total due: Rs 3,420.",SAFE
Your LPG cylinder booking #928102 is confirmed. Expected delivery tomorrow.,SAFE
Appointment confirmed with Dr. Sharma for tomorrow 4:30 PM at City Hospital.,SAFE
Your flight ticket to Mumbai is confirmed. PNR: ABC123D. Departure 08:30 AM.,SAFE
"Salary of Rs 65,000 credited to your account XX4829 on 01-Aug.",SAFE
Your Broadband bill of Rs 799 for account 10482910 is due on 10th Aug.,SAFE
Your Amazon package has been delivered to your doorstep.,SAFE
OTP for accessing your DigiLocker account is 481029. Valid for 10 minutes.,SAFE
Your car service appointment is scheduled at Hyundai Service Center for 05-Aug at 9 AM.,SAFE
"Dear customer, Rs 2,500 debited from account XX1049 for shopping at Reliance Digital.",SAFE
"Your SBI Mutual Fund SIP of Rs 5,000 successfully processed for August.",SAFE
Meeting reminder: Team sync at 3 PM in Conference Room B.,SAFE
Your Swiggy order is being prepared by the restaurant. Track on app.,SAFE
"Dear customer, your request for address update in bank records is completed.",SAFE
Your Uber trip receipt: Rs 240 paid via UPI. Thank you for riding.,SAFE
Your DTH subscription recharged successfully with Rs 450.,SAFE
Your Flipkart order has out for delivery with agent Ramesh (Ph: 9876500000).,SAFE
"Your ICICI bank credit card ending XX9210 used for Rs 1,200 at Shell Petrol Pump.",SAFE
"Dear customer, your feedback for recent service visit is valuable. Rate us on app.",SAFE
Your Zomato order has been picked up by delivery executive.,SAFE
OTP for logging into your HDFC Netbanking is 391048.,SAFE
Your Indane Gas refilling bill Rs 850 paid online successfully.,SAFE
Your train ticket for 12626 Kerala Express is confirmed. Coach S4 Seat 32.,SAFE
"Dear customer, your Monthly Savings Account interest of Rs 340 credited.",SAFE
Your Jio Fiber plan active. Speed: 100 Mbps. Next bill date 20-Aug.,SAFE
Your lab report from Metropolis Diagnostics is ready. View on official portal.,SAFE
"Your BookMyShow movie tickets confirmed for PVR Cinemas, 7:15 PM show.",SAFE
"Dear customer, Rs 500 received in your Paytm wallet from Vivek Kumar.",SAFE
Your policy premium receipt for LIC Policy #84920194 is generated.,SAFE
Your Airtel Postpaid bill of Rs 599 generated. Due date 18th August.,SAFE
Your appointment with Dentist Dr. Verma rescheduled to 6 PM today.,SAFE
"Dear customer, your credit card pin has been changed successfully.",SAFE
Your DL Renewal application #392019 status: Approved by RTO.,SAFE
Your OTP for salary portal login is 918234. Valid for 5 minutes.,SAFE
Your KYC will expire today. Share your OTP immediately to avoid account blocking.,SCAM
Your bank account will be blocked today. Verify your KYC by sharing the OTP sent to your phone.,SCAM
URGENT: Your UPI account is suspended. Send the OTP to reactivate it now.,SCAM
Your debit card has been selected for verification. Share your PIN and OTP with the bank officer.,SCAM
Your account has suspicious activity. Confirm your OTP immediately or your account will be frozen.,SCAM
Your electricity connection will be disconnected today. Pay the pending amount through this link immediately.,SCAM
FINAL NOTICE: Pay your electricity bill within 30 minutes using the attached link to avoid disconnection.,SCAM
Your FASTag is blocked. Complete KYC by clicking this link and entering your card details.,SCAM
Your SIM will be deactivated tonight. Verify your Aadhaar and OTP immediately.,SCAM
Your mobile number will stop working. Send the verification OTP to continue the service.,SCAM
Police have issued a warrant against you. Pay the security amount immediately to avoid arrest.,SCAM
You are under digital arrest. Stay on video call and transfer the requested money for verification.,SCAM
Your Aadhaar has been linked to illegal activity. Pay the verification fee immediately.,SCAM
Customs has held your parcel. Pay the clearance charge through this link to release it today.,SCAM
Your courier contains prohibited items. Transfer the investigation fee immediately to avoid legal action.,SCAM
Congratulations! You won Rs 5 lakh in a lottery. Pay the processing fee and share your bank details.,SCAM
You have won a cash reward. Send Rs 999 as a verification fee to receive the prize.,SCAM
Your investment account has generated a guaranteed 300% return. Transfer money now to unlock the profit.,SCAM
Exclusive investment opportunity: deposit Rs 10000 today and receive guaranteed returns within 24 hours.,SCAM
"Your bank refund is pending. Click this link and enter your card number, CVV, and OTP to receive it.",SCAM
"Your income tax refund is ready. Verify your PAN, bank details, and OTP using this link.",SCAM
Your insurance policy will lapse today. Pay the renewal amount through this link immediately.,SCAM
Your pension verification is incomplete. Send your Aadhaar number and OTP to complete verification.,SCAM
Your account has been selected for a special government benefit. Pay the registration fee to receive it.,SCAM
A bank representative needs remote access to fix your account. Install this application and share the access code.,SCAM
Install this support APK immediately so our bank technician can resolve the KYC issue.,SCAM
Your phone has a security problem. Install the attached application and allow screen sharing for verification.,SCAM
Your UPI refund cannot be processed until you approve this payment request. Complete it immediately.,SCAM
A payment of Rs 49 is required to cancel the suspicious transaction. Approve the UPI request now.,SCAM
Your credit card reward points expire today. Click the link and enter your card details to redeem them.,SCAM
Your electricity bill of Rs 540 is due tomorrow. Pay on the official app.,SAFE
Your monthly bank statement is now available in the official banking app.,SAFE
Your electricity bill payment of Rs 540 was received successfully.,SAFE
Your UPI payment of Rs 850 to the merchant was successful.,SAFE
Your salary has been credited to your bank account.,SAFE
Your debit card ending 4821 was used for a purchase of Rs 1250.,SAFE
Your account balance was updated after the recent transaction.,SAFE
Your fixed deposit will mature on 15 September. Please contact your branch for details.,SAFE
Your bank branch will remain closed on Sunday. Regular services resume Monday.,SAFE
Your ATM card is ready for collection at your registered branch.,SAFE
Your loan EMI of Rs 7800 is due on the 5th of next month.,SAFE
Your insurance premium is due next month. Please use the official insurer website for payment.,SAFE
Your pension payment has been credited to your registered bank account.,SAFE
Your FASTag recharge of Rs 500 was successful.,SAFE
Your mobile recharge of Rs 299 was completed successfully.,SAFE
Your electricity connection remains active. No payment is required at this time.,SAFE
Your KYC documents were received successfully. No further action is required.,SAFE
Your bank has received your KYC update request and will notify you through official channels.,SAFE
Your tax return acknowledgement has been generated successfully.,SAFE
Your income tax refund status has been updated on the official portal.,SAFE
Your courier shipment has been picked up and is scheduled for delivery tomorrow.,SAFE
Your parcel is out for delivery today. Track it using the official courier application.,SAFE
Your hospital appointment is confirmed for tomorrow at 10:30 AM.,SAFE
Your laboratory report is available in the hospital's official patient portal.,SAFE
Your government service application has been submitted successfully.,SAFE
Your passport application status has been updated on the official portal.,SAFE
Your vehicle FASTag account has been successfully recharged.,SAFE
Your credit card payment was received successfully. Thank you.,SAFE
Your recurring deposit installment was processed successfully.,SAFE
Your bank has scheduled routine maintenance for Sunday between 1 AM and 4 AM.,SAFE
