text,label
Your Flipkart order has out for delivery with agent Ramesh (Ph: 9876500000).,SAFE
Your Zomato order has been picked up by delivery executive.,SAFE
Appointment confirmed with Dr. Sharma for tomorrow 4:30 PM at City Hospital.,SAFE
Your LPG cylinder booking #928102 is confirmed. Expected delivery tomorrow.,SAFE
Your investment account has generated a guaranteed 300% return. Transfer money now to unlock the profit.,SCAM
"Selected for Work From Home online task. Earn Rs 50,000 monthly. Transfer registration fee.",SCAM
You have won a cash reward. Send Rs 999 as a verification fee to receive the prize.,SCAM
Your lab report from Metropolis Diagnostics is ready. View on official portal.,SAFE
URGENT: Your UPI account is suspended. Send the OTP to reactivate it now.,SCAM
"Dear customer, your request for address update in bank records is completed.",SAFE
"You have a pending refund of Rs 2,400 from Google Pay. Click link to receive money in your UPI.",SCAM
"Bank alert: Suspicious transaction of Rs 49,999 detected. Share OTP to cancel transaction.",SCAM
Your phone has a security problem. Install the attached application and allow screen sharing for verification.,SCAM
Your Swiggy order is being prepared by the restaurant. Track on app.,SAFE
Urgent: Your Axis bank netbanking locked. Verify Aadhaar number and OTP to restore access.,SCAM
Your Telegram account disabled. Verify security code 918230 to restore your account.,SCAM
Police department has issued an arrest warrant against you. Pay Rs 5000 fine now to clear your name.,SCAM
Your appointment with Dentist Dr. Verma rescheduled to 6 PM today.,SAFE
"Dear customer, your electricity bill of Rs 3,450 is unpaid. Power cut will happen in 30 mins.",SCAM
Your salary has been credited to your bank account.,SAFE
Speed Post parcel failed to deliver due to incorrect address. Pay Rs 25 re-delivery fee now.,SCAM
Your electricity connection will be disconnected today. Pay the pending amount through this link immediately.,SCAM
Your OTP for salary portal login is 918234. Valid for 5 minutes.,SAFE
Your credit card payment was received successfully. Thank you.,SAFE
Your loan EMI of Rs 7800 is due on the 5th of next month.,SAFE
Your account balance was updated after the recent transaction.,SAFE
"Dear user, your Netflix subscription expired. Update credit card CVV at http://netflix-renew-sub.net",SCAM
Your hospital appointment is confirmed for tomorrow at 10:30 AM.,SAFE
Your electricity bill payment of Rs 540 was received successfully.,SAFE
